id,round,phase,plddt,soluprot,relax_score,predicted_plddt,selection_rank
rfd3_spec-1_0_model_0:29,1,round_1_train,97.32161073825505,0.7456802770348359,-3.16044966442953,,
rfd3_spec-1_0_model_0:113,1,round_1_train,96.0975838926175,0.7887347183305116,-3.117228187919463,,
rfd3_spec-1_0_model_0:153,1,round_1_train,96.36906040268457,0.7721816361995101,-3.1431073825503355,,
rfd3_spec-1_0_model_1:20,1,round_1_train,96.74194630872482,0.7234441858277042,-3.0517046979865774,,
rfd3_spec-1_0_model_1:55,1,round_1_train,96.14986577181206,0.7377088251316696,-3.0925570469798656,,
rfd3_spec-1_0_model_2:75,1,round_1_train,97.25724832214769,0.7971089360167576,-3.1108053691275166,,
rfd3_spec-1_0_model_2:105,1,round_1_train,97.03973154362419,0.7652614083072495,-3.088046979865772,,
rfd3_spec-1_0_model_2:166,1,round_1_train,96.90577181208049,0.7864893752517181,-3.0714496644295304,,
rfd3_spec-1_0_model_2:194,1,round_1_train,97.3220134228188,0.7640536493702059,-3.123744966442953,,
rfd3_spec-1_0_model_3:54,1,round_1_train,96.61328859060401,0.7492275229602882,-3.0443892617449664,,
rfd3_spec-1_0_model_3:67,1,round_1_train,95.57731543624162,0.7078780893131449,-3.0276107382550332,,
rfd3_spec-1_0_model_3:101,1,round_1_train,96.67234899328861,0.7400396211787589,-3.010046979865772,,
rfd3_spec-1_0_model_3:134,1,round_1_train,96.26328859060402,0.7337943597038491,-3.0647651006711407,,
rfd3_spec-1_0_model_4:52,1,round_1_train,96.78409395973155,0.7172250374286424,-3.16744966442953,,
rfd3_spec-1_0_model_4:104,1,round_1_train,96.94644295302008,0.7487227945815282,-3.141718120805369,,
rfd3_spec-1_0_model_4:105,1,round_1_train,96.61879194630869,0.7006093769068209,-3.1433758389261746,,
rfd3_spec-1_0_model_5:192,1,round_1_train,96.06241610738253,0.725854635511038,-2.9665973154362417,,
rfd3_spec-1_0_model_5:196,1,round_1_train,96.16080536912749,0.7353646042343337,-3.0352416107382547,,
rfd3_spec-1_0_model_6:28,1,round_1_train,97.3882550335571,0.7309002039858982,-3.1339194630872482,,
rfd3_spec-1_0_model_6:86,1,round_1_train,97.55906040268452,0.7524917854622692,-3.099946308724832,,
rfd3_spec-1_0_model_6:105,1,round_1_train,97.53865771812079,0.7402977674687605,-3.1549127516778523,,
rfd3_spec-1_0_model_7:18,1,round_1_train,95.79221476510065,0.7791878118190163,-3.0408657718120806,,
rfd3_spec-1_0_model_7:170,1,round_1_train,96.39939597315437,0.7846806191852183,-3.0450939597315436,,
rfd3_spec-1_0_model_7:199,1,round_1_train,95.79442953020136,0.7591797774092285,-3.010912751677852,,
rfd3_spec-1_0_model_8:59,1,round_1_train,97.04590604026843,0.7942722319236881,-3.134510067114094,,
rfd3_spec-1_0_model_8:84,1,round_1_train,97.28134228187916,0.7608934183768223,-3.1000134228187917,,
rfd3_spec-1_0_model_8:141,1,round_1_train,97.22744966442954,0.7638115828443979,-3.1138926174496646,,
rfd3_spec-1_0_model_8:164,1,round_1_train,97.27637583892621,0.7366686032849895,-3.0855302013422823,,
